	Over	Runs	Wickets
935	17.0	13.0	1.0
936	18.0	2.0	1.0
937	19.0	9.0	1.0
938	20.0	0.0	1.0
939	1.0	6.0	0.0
940	2.0	7.0	1.0
941	3.0	9.0	0.0
942	4.0	10.0	0.0
943	5.0	12.0	0.0
944	6.0	8.0	0.0
945	7.0	3.0	0.0
946	8.0	8.0	0.0
947	9.0	4.0	1.0
948	10.0	14.0	0.0
949	11.0	0.0	1.0
950	12.0	12.0	0.0
951	13.0	6.0	0.0
952	14.0	4.0	0.0
953	15.0	6.0	1.0
954	16.0	1.0	0.0
955	17.0	7.0	0.0
956	18.0	3.0	0.0
957	19.0	7.0	0.0
958	1.0	4.0	1.0
959	2.0	6.0	0.0
960	3.0	4.0	0.0
961	4.0	7.0	1.0
962	5.0	10.0	0.0
963	6.0	3.0	1.0
964	7.0	9.0	1.0
965	8.0	7.0	0.0
966	9.0	10.0	0.0
967	10.0	6.0	0.0
968	11.0	4.0	0.0
969	12.0	7.0	0.0
970	13.0	4.0	0.0
971	14.0	3.0	1.0
972	15.0	2.0	1.0
973	16.0	9.0	0.0
974	17.0	12.0	0.0
975	18.0	14.0	0.0
976	19.0	3.0	1.0
977	20.0	20.0	0.0
978	1.0	3.0	0.0
979	2.0	1.0	0.0
980	3.0	11.0	0.0
981	4.0	9.0	0.0
982	5.0	6.0	1.0
983	6.0	20.0	0.0
984	7.0	8.0	0.0
985	8.0	13.0	0.0
986	9.0	6.0	0.0
987	10.0	1.0	1.0
988	11.0	10.0	0.0
989	12.0	6.0	0.0
990	13.0	7.0	0.0
991	14.0	11.0	0.0
992	15.0	3.0	0.0
993	16.0	10.0	0.0
994	17.0	2.0	1.0
